trade_id,timestamp,trader_id,account_id,instrument,order_type,order_size,price,order_status,cancel_time_ms,session_id
TRD-N097,2026-05-20 13:10:29,T-0097,A-0097,WIPRO,BUY,1200,482.00,EXECUTED,0,SES-0097-A
TRD-N098,2026-05-20 13:12:54,T-0098,A-0098,SBIN,SELL,500,806.00,EXECUTED,0,SES-0098-A
TRD-N099,2026-05-20 13:15:18,T-0099,A-0099,HDFCBANK,BUY,1800,1633.00,EXECUTED,0,SES-0099-A
TRD-N100,2026-05-20 13:17:42,T-0001,A-0001,RELIANCE,SELL,800,2920.00,EXECUTED,0,SES-0001-B
TRD-N101,2026-05-20 13:20:07,T-0002,A-0002,INFY,BUY,1000,1854.00,EXECUTED,0,SES-0002-B
TRD-N102,2026-05-20 13:22:31,T-0003,A-0003,TCS,SELL,1500,3875.00,EXECUTED,0,SES-0003-B
TRD-N103,2026-05-20 13:24:56,T-0004,A-0004,ICICIBANK,BUY,600,1145.00,EXECUTED,0,SES-0004-B
TRD-N104,2026-05-20 13:27:20,T-0005,A-0005,WIPRO,SELL,2000,483.50,CANCELLED,1900,SES-0005-B
TRD-N105,2026-05-20 13:29:44,T-0006,A-0006,SBIN,BUY,1200,807.00,EXECUTED,0,SES-0006-B
TRD-N106,2026-05-20 13:32:09,T-0007,A-0007,HDFCBANK,SELL,400,1635.00,EXECUTED,0,SES-0007-B
TRD-N107,2026-05-20 13:34:33,T-0008,A-0008,RELIANCE,BUY,900,2922.00,EXECUTED,0,SES-0008-B
TRD-N108,2026-05-20 13:36:57,T-0009,A-0009,INFY,SELL,700,1857.00,EXECUTED,0,SES-0009-B
TRD-N109,2026-05-20 13:39:22,T-0010,A-0010,TCS,BUY,2500,3870.00,EXECUTED,0,SES-0010-B
TRD-N110,2026-05-20 13:41:46,T-0011,A-0011,ICICIBANK,SELL,1400,1147.00,EXECUTED,0,SES-0011-B
TRD-N111,2026-05-20 13:44:10,T-0012,A-0012,WIPRO,BUY,500,485.00,EXECUTED,0,SES-0012-B
TRD-N112,2026-05-20 13:46:35,T-0013,A-0013,SBIN,SELL,1800,808.50,EXECUTED,0,SES-0013-B
TRD-N113,2026-05-20 13:48:59,T-0014,A-0014,HDFCBANK,BUY,1000,1634.00,EXECUTED,0,SES-0014-B
TRD-N114,2026-05-20 13:51:24,T-0015,A-0015,RELIANCE,SELL,600,2925.00,Executed,0,SES-0015-B
TRD-N115,2026-05-20 13:53:48,T-0016,A-0016,INFY,BUY,300,1856.00,EXECUTED,0,SES-0016-B
TRD-N116,2026-05-20 13:56:12,T-0017,A-0017,TCS,SELL,1200,3878.00,EXECUTED,0,SES-0017-B
TRD-N117,2026-05-20 13:58:37,T-0018,A-0018,ICICIBANK,BUY,2000,1149.00,EXECUTED,0,SES-0018-B
TRD-N118,2026-05-20 14:01:01,T-0019,A-0019,WIPRO,SELL,800,486.50,EXECUTED,0,SES-0019-B
TRD-N119,2026-05-20 14:03:25,T-0020,A-0020,SBIN,BUY,1500,810.00,EXECUTED,0,SES-0020-B
TRD-N120,2026-05-20 14:05:50,T-0021,A-0021,HDFCBANK,SELL,700,1636.50,CANCELLED,1700,SES-0021-B
TRD-N121,2026-05-20 14:08:14,T-0022,A-0022,RELIANCE,BUY,1100,2927.00,EXECUTED,0,SES-0022-B
TRD-N122,2026-05-20 14:10:38,T-0023,A-0023,INFY,SELL,900,1859.00,EXECUTED,0,SES-0023-B
TRD-N123,2026-05-20 14:13:03,T-0024,A-0024,TCS,BUY,400,3875.00,EXECUTED,0,SES-0024-B
TRD-N124,2026-05-20 14:15:27,T-0025,A-0025,ICICIBANK,SELL,1600,1151.00,EXECUTED,0,SES-0025-B
TRD-N125,2026-05-20 14:17:51,T-0026,A-0026,WIPRO,BUY,2500,488.00,EXECUTED,0,SES-0026-B
TRD-N126,2026-05-20 14:20:16,T-0027,A-0027,SBIN,SELL,1200,812.00,EXECUTED,0,SES-0027-B
TRD-N127,2026-05-20 14:22:40,T-0028,A-0028,HDFCBANK,BUY,500,1638.00,EXECUTED,0,SES-0028-B
TRD-N128,2026-05-20 14:25:04,T-0029,A-0029,RELIANCE,SELL,2000,2930.00,EXECUTED,0,SES-0029-B
TRD-N129,2026-05-20 14:27:29,T-0030,A-0030,INFY,BUY,800,1861.00,EXECUTED,0,SES-0030-B
TRD-N130,2026-05-20 14:29:53,T-0031,A-0031,TCS,SELL,1500,3880.00,EXECUTED,0,SES-0031-B
TRD-N131,2026-05-20 14:32:17,T-0032,A-0032,ICICIBANK,BUY,700,1153.00,EXECUTED,0,SES-0032-B
TRD-N132,2026-05-20 14:34:42,T-0033,A-0033,WIPRO,SELL,1000,489.50,EXECUTED,0,SES-0033-B
TRD-N133,2026-05-20 14:37:06,T-0034,A-0034,SBIN,BUY,2000,813.50,CANCELLED,2000,SES-0034-B
TRD-N134,2026-05-20 14:39:30,T-0035,A-0035,HDFCBANK,SELL,1800,1640.00,EXECUTED,0,SES-0035-B
TRD-N135,2026-05-20 14:41:55,T-0036,A-0036,RELIANCE,BUY,600,2932.00,EXECUTED,0,SES-0036-B
TRD-N136,2026-05-20 14:44:19,T-0037,A-0037,INFY,SELL,300,1863.00,EXECUTED,0,SES-0037-B
TRD-N137,2026-05-20 14:46:43,T-0038,A-0038,TCS,BUY,1200,3882.00,EXECUTED,0,SES-0038-B
TRD-N138,2026-05-20 14:49:08,T-0039,A-0039,ICICIBANK,SELL,2500,1155.00,EXECUTED,0,SES-0039-B
TRD-N139,2026-05-20 14:51:32,T-0040,A-0040,WIPRO,BUY,900,491.00,EXECUTED,0,SES-0040-B
TRD-N140,2026-05-20 14:53:56,T-0041,A-0041,SBIN,SELL,1500,815.00,EXECUTED,0,SES-0041-B
TRD-N141,2026-05-20 14:56:21,T-0042,A-0042,HDFCBANK,BUY,400,1639.00,EXECUTED,0,SES-0042-B
TRD-N142,2026-05-20 14:58:45,T-0043,A-0043,RELIANCE,SELL,1000,2935.00,EXECUTED,0,SES-0043-B
TRD-N143,2026-05-20 15:01:09,T-0044,A-0044,INFY,BUY,700,1864.00,EXECUTED,0,SES-0044-B
TRD-N144,2026-05-20 15:03:34,T-0045,A-0045,TCS,SELL,1800,3885.00,EXECUTED,0,SES-0045-B
TRD-N145,2026-05-20 15:05:58,T-0046,A-0046,ICICIBANK,BUY,600,1157.00,CANCELLED,1300,SES-0046-B
TRD-N146,2026-05-20 15:08:22,T-0047,A-0047,WIPRO,SELL,2000,492.50,EXECUTED,0,SES-0047-B
TRD-N147,2026-05-20 15:10:47,T-0048,A-0048,SBIN,BUY,1200,816.50,EXECUTED,0,SES-0048-B
TRD-N148,2026-05-20 15:13:11,T-0049,A-0049,HDFCBANK,SELL,500,1641.50,EXECUTED,0,SES-0049-B
TRD-N149,2026-05-20 15:15:35,T-0050,A-0050,RELIANCE,BUY,900,2937.00,EXECUTED,0,SES-0050-B
TRD-N150,2026-05-20 15:18:00,T-0051,A-0051,INFY,SELL,1100,1866.00,EXECUTED,0,SES-0051-B
TRD-N151,2026-05-21 09:15:22,T-0052,A-0052,TCS,BUY,800,3880.00,EXECUTED,0,SES-0052-C
TRD-N152,2026-05-21 09:17:46,T-0053,A-0053,ICICIBANK,SELL,1400,1158.00,EXECUTED,0,SES-0053-C
TRD-N153,2026-05-21 09:20:10,T-0054,A-0054,WIPRO,BUY,2000,494.00,EXECUTED,0,SES-0054-C
TRD-N154,2026-05-21 09:22:35,T-0055,A-0055,SBIN,SELL,600,817.00,EXECUTED,0,SES-0055-C
TRD-N155,2026-05-21 09:24:59,T-0056,A-0056,HDFCBANK,BUY,1500,1642.00,EXECUTED,0,SES-0056-C
TRD-N156,2026-05-21 09:27:23,T-0057,A-0057,RELIANCE,SELL,900,2938.00,CANCELLED,1100,SES-0057-C
TRD-N157,2026-05-21 09:29:48,T-0058,A-0058,INFY,BUY,400,1865.00,EXECUTED,0,SES-0058-C
TRD-N158,2026-05-21 09:32:12,T-0059,A-0059,TCS,SELL,1200,3883.00,EXECUTED,0,SES-0059-C
TRD-N159,2026-05-21 09:34:36,T-0060,A-0060,ICICIBANK,BUY,700,1160.00,EXECUTED,0,SES-0060-C
TRD-N160,2026-05-21 09:37:01,T-0061,A-0061,WIPRO,SELL,2500,495.50,EXECUTED,0,SES-0061-C
TRD-N161,2026-05-21 09:39:25,T-0062,A-0062,SBIN,BUY,1000,818.50,EXECUTED,0,SES-0062-C
TRD-N162,2026-05-21 09:41:49,T-0063,A-0063,HDFCBANK,SELL,1800,1644.00,EXECUTED,0,SES-0063-C
TRD-N163,2026-05-21 09:44:14,T-0064,A-0064,RELIANCE,BUY,600,2940.00,EXECUTED,0,SES-0064-C
TRD-N164,2026-05-21 09:46:38,T-0065,A-0065,INFY,SELL,300,1867.00,EXECUTED,0,SES-0065-C
TRD-N165,2026-05-21 09:49:02,T-0066,A-0066,TCS,BUY,1500,3886.00,EXECUTED,0,SES-0066-C
TRD-N166,2026-05-21 09:51:27,T-0067,A-0067,ICICIBANK,SELL,900,1162.00,EXECUTED,0,SES-0067-C
TRD-N167,2026-05-21 09:53:51,T-0068,A-0068,WIPRO,BUY,2000,497.00,CANCELLED,1400,SES-0068-C
TRD-N168,2026-05-21 09:56:15,T-0069,A-0069,SBIN,SELL,1200,820.00,EXECUTED,0,SES-0069-C
TRD-N169,2026-05-21 09:58:40,T-0070,A-0070,HDFCBANK,BUY,500,1645.50,EXECUTED,0,SES-0070-C
TRD-N170,2026-05-21 10:01:04,T-0071,A-0071,RELIANCE,SELL,1500,2942.00,EXECUTED,0,SES-0071-C
TRD-N171,2026-05-21 10:03:28,T-0072,A-0072,INFY,BUY,800,1869.00,EXECUTED,0,SES-0072-C
TRD-N172,2026-05-21 10:05:53,T-0073,A-0073,TCS,SELL,400,3888.00,EXECUTED,0,SES-0073-C
TRD-N173,2026-05-21 10:08:17,T-0074,A-0074,ICICIBANK,BUY,1800,1164.00,EXECUTED,0,SES-0074-C
TRD-N174,2026-05-21 10:10:41,T-0075,A-0075,WIPRO,SELL,700,498.50,EXECUTED,0,SES-0075-C
TRD-N175,2026-05-21 10:13:06,T-0076,A-0076,SBIN,BUY,2500,821.50,EXECUTED,0,SES-0076-C
TRD-N176,2026-05-21 10:17:30,T-0077,A-0077,HDFCBANK,SELL,1000,1647.00,EXECUTED,0,SES-0077-C
TRD-N177,2026-05-21 10:19:54,T-0078,A-0078,RELIANCE,BUY,600,2944.00,EXECUTED,0,SES-0078-C
TRD-N178,2026-05-21 10:22:18,T-0079,A-0079,INFY,SELL,1200,1871.00,EXECUTED,0,SES-0079-C
TRD-N179,2026-05-21 10:24:43,T-0080,A-0080,TCS,BUY,900,3890.00,CANCELLED,1800,SES-0080-C
TRD-N180,2026-05-21 10:27:07,T-0081,A-0081,ICICIBANK,SELL,2000,1166.00,EXECUTED,0,SES-0081-C
TRD-N181,2026-05-21 10:29:31,T-0082,A-0082,WIPRO,BUY,1500,500.00,EXECUTED,0,SES-0082-C
TRD-N182,2026-05-21 10:31:56,T-0083,A-0083,SBIN,SELL,800,823.00,EXECUTED,0,SES-0083-C
TRD-N183,2026-05-21 10:34:20,T-0084,A-0084,HDFCBANK,BUY,400,1648.50,EXECUTED,0,SES-0084-C
TRD-N184,2026-05-21 10:36:44,T-0085,A-0085,RELIANCE,SELL,1800,2946.00,EXECUTED,0,SES-0085-C
TRD-N185,2026-05-21 10:39:09,T-0086,A-0086,INFY,BUY,700,1872.00,EXECUTED,0,SES-0086-C
TRD-N186,2026-05-21 10:41:33,T-0087,A-0087,TCS,SELL,300,3892.00,EXECUTED,0,SES-0087-C
TRD-N187,2026-05-21 10:43:57,T-0088,A-0088,ICICIBANK,BUY,2500,1168.00,EXECUTED,0,SES-0088-C
TRD-N188,2026-05-21 10:46:22,T-0089,A-0089,WIPRO,SELL,1000,501.50,EXECUTED,0,SES-0089-C
TRD-N189,2026-05-21 10:48:46,T-0090,A-0090,SBIN,BUY,1200,824.50,CANCELLED,1600,SES-0090-C
TRD-N190,2026-05-21 10:51:10,T-0091,A-0091,HDFCBANK,SELL,600,1650.00,EXECUTED,0,SES-0091-C
